index,month,value,delta,carrier_class,motion_class,boundary_note
37,1952-01,171,5,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
38,1952-02,180,9,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
39,1952-03,193,13,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
40,1952-04,181,-12,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
41,1952-05,183,2,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
42,1952-06,218,35,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
43,1952-07,230,12,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
44,1952-08,242,12,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
45,1952-09,209,-33,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
46,1952-10,191,-18,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
47,1952-11,172,-19,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
48,1952-12,194,22,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
49,1953-01,196,2,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
50,1953-02,196,0,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
51,1953-03,236,40,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
52,1953-04,235,-1,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
53,1953-05,229,-6,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
54,1953-06,243,14,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
55,1953-07,264,21,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
56,1953-08,272,8,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
57,1953-09,237,-35,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
58,1953-10,211,-26,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
59,1953-11,180,-31,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
60,1953-12,201,21,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
61,1954-01,204,3,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
62,1954-02,188,-16,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
63,1954-03,235,47,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
64,1954-04,227,-8,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
65,1954-05,234,7,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
66,1954-06,264,30,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
67,1954-07,302,38,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
68,1954-08,293,-9,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
69,1954-09,259,-34,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
70,1954-10,229,-30,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
71,1954-11,203,-26,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
72,1954-12,229,26,low_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
73,1955-01,242,13,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
74,1955-02,233,-9,low_carrier,plateau,seasonal_persistence_no_domain_causality_claim
75,1955-03,267,34,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
76,1955-04,269,2,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
77,1955-05,270,1,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
78,1955-06,315,45,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
79,1955-07,364,49,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
80,1955-08,347,-17,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
81,1955-09,312,-35,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
82,1955-10,274,-38,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
83,1955-11,237,-37,low_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
84,1955-12,278,41,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
85,1956-01,284,6,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
86,1956-02,277,-7,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
87,1956-03,317,40,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
88,1956-04,313,-4,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
89,1956-05,318,5,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
90,1956-06,374,56,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
91,1956-07,413,39,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
92,1956-08,405,-8,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
93,1956-09,355,-50,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
94,1956-10,306,-49,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
95,1956-11,271,-35,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
96,1956-12,306,35,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
97,1957-01,315,9,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
98,1957-02,301,-14,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
99,1957-03,356,55,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
100,1957-04,348,-8,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
101,1957-05,355,7,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
102,1957-06,422,67,mid_carrier,rapid_rise,seasonal_persistence_no_domain_causality_claim
103,1957-07,465,43,high_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
104,1957-08,467,2,high_carrier,plateau,seasonal_persistence_no_domain_causality_claim
105,1957-09,404,-63,mid_carrier,rapid_fall,seasonal_persistence_no_domain_causality_claim
106,1957-10,347,-57,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
107,1957-11,305,-42,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
108,1957-12,336,31,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
109,1958-01,340,4,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
110,1958-02,318,-22,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
111,1958-03,362,44,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
112,1958-04,348,-14,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
113,1958-05,363,15,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
114,1958-06,435,72,mid_carrier,rapid_rise,seasonal_persistence_no_domain_causality_claim
115,1958-07,491,56,high_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
116,1958-08,505,14,high_carrier,plateau,seasonal_persistence_no_domain_causality_claim
117,1958-09,404,-101,mid_carrier,rapid_fall,seasonal_persistence_no_domain_causality_claim
118,1958-10,359,-45,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
119,1958-11,310,-49,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
120,1958-12,337,27,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
121,1959-01,360,23,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
122,1959-02,342,-18,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
123,1959-03,406,64,mid_carrier,rapid_rise,seasonal_persistence_no_domain_causality_claim
124,1959-04,396,-10,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
125,1959-05,420,24,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
126,1959-06,472,52,high_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
127,1959-07,548,76,high_carrier,rapid_rise,seasonal_persistence_no_domain_causality_claim
128,1959-08,559,11,high_carrier,plateau,seasonal_persistence_no_domain_causality_claim
129,1959-09,463,-96,high_carrier,rapid_fall,seasonal_persistence_no_domain_causality_claim
130,1959-10,407,-56,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
131,1959-11,362,-45,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
132,1959-12,405,43,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
133,1960-01,417,12,mid_carrier,plateau,seasonal_persistence_no_domain_causality_claim
134,1960-02,391,-26,mid_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
135,1960-03,419,28,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
136,1960-04,461,42,high_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
137,1960-05,472,11,high_carrier,plateau,seasonal_persistence_no_domain_causality_claim
138,1960-06,535,63,high_carrier,rapid_rise,seasonal_persistence_no_domain_causality_claim
139,1960-07,622,87,high_carrier,rapid_rise,seasonal_persistence_no_domain_causality_claim
140,1960-08,606,-16,high_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
141,1960-09,508,-98,high_carrier,rapid_fall,seasonal_persistence_no_domain_causality_claim
142,1960-10,461,-47,high_carrier,slow_fall,seasonal_persistence_no_domain_causality_claim
143,1960-11,390,-71,mid_carrier,rapid_fall,seasonal_persistence_no_domain_causality_claim
144,1960-12,432,42,mid_carrier,slow_rise,seasonal_persistence_no_domain_causality_claim
