from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,center_shift,width_change,relation_type,boundary_note
25,40,111,33,residual,residual,32926-34675,32921-34680,1750,0.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,112,34,stable,stable,34676-34700,34681-34720,20,12.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,113,35,residual,residual,34701-34775,34721-34800,55,22.5,5,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,114,36,stable,stable,34776-34825,34801-34840,25,20.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,115,37,residual,residual,34826-37000,34841-37000,2160,7.5,-15,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,116,38,stable,stable,37001-37050,37001-37040,40,-5.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,127,39,residual,residual,38076-39875,37041-41280,1800,185.0,2440,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,133,40,residual,stable,40651-41300,41281-41320,20,325.0,-610,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,137,41,residual,residual,41701-42700,41321-42720,1000,-180.0,400,minor_deformation,observer-side boundary deformation under adjacent constitution transition
25,40,138,42,stable,stable,42701-42750,42721-42760,30,15.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,139,43,residual,residual,42751-43575,42761-43480,720,-42.5,-105,minor_deformation,observer-side boundary deformation under adjacent constitution transition
25,40,139,44,residual,stable,42751-43575,43481-43520,40,337.5,-785,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,141,45,residual,residual,43601-44325,43521-45480,725,537.5,1235,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,148,46,stable,stable,45476-45500,45481-45520,20,12.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,155,47,residual,residual,46526-48000,45521-49040,1475,17.5,2045,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,160,48,stable,stable,49051-49075,49041-49080,25,-2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,169,49,residual,residual,51676-54275,49081-53720,2045,-1575.0,2040,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,169,50,residual,stable,51676-54275,53721-53760,40,765.0,-2560,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,169,51,residual,residual,51676-54275,53761-54280,515,1045.0,-2080,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,170,52,stable,stable,54276-54300,54281-54320,20,12.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,177,53,residual,residual,55126-56050,54321-55640,515,-607.5,395,slow_drift,observer-side boundary deformation under adjacent constitution transition
25,40,177,54,residual,stable,55126-56050,55641-55680,40,72.5,-885,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,181,55,residual,residual,56151-56600,55681-57000,450,-35.0,870,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,184,56,stable,stable,57001-57050,57001-57040,40,-5.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,187,57,residual,residual,57226-57575,57041-57960,350,100.0,570,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,191,58,residual,stable,57976-58450,57961-58000,25,-232.5,-435,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,191,59,residual,residual,57976-58450,58001-58440,440,7.5,-35,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,192,60,stable,stable,58451-58475,58441-58480,25,-2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,193,61,residual,residual,58476-59100,58481-59280,620,92.5,175,minor_deformation,observer-side boundary deformation under adjacent constitution transition
25,40,195,62,residual,stable,59126-59575,59281-59320,40,-50.0,-410,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,195,63,residual,residual,59126-59575,59321-60120,255,370.0,350,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,199,64,residual,stable,59876-60525,60121-60160,40,-60.0,-610,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,201,65,residual,residual,60551-60975,60161-61240,425,-62.5,655,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,206,66,stable,stable,61251-61275,61241-61280,25,-2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,207,67,residual,residual,61276-61900,61281-62720,620,412.5,815,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,211,68,residual,stable,62201-63950,62721-62760,40,-335.0,-1710,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,211,69,residual,residual,62201-63950,62761-64760,1190,685.0,250,slow_drift,observer-side boundary deformation under adjacent constitution transition
25,40,220,70,stable,stable,64776-64800,64761-64800,25,-7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,235,71,residual,residual,67276-68100,64801-68360,825,-1107.5,2735,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,238,72,stable,stable,68376-68400,68361-68400,25,-7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,239,73,residual,residual,68401-68675,68401-68680,275,2.5,5,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,240,74,stable,stable,68676-68725,68681-68720,40,0.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,245,75,residual,residual,69001-69650,68721-69360,360,-285.0,-10,slow_drift,observer-side boundary deformation under adjacent constitution transition
25,40,245,76,residual,stable,69001-69650,69361-69400,40,55.0,-610,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,257,77,residual,residual,70776-71950,69401-71840,1065,-742.5,1265,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,257,78,residual,stable,70776-71950,71841-71880,40,497.5,-1135,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,257,79,residual,residual,70776-71950,71881-71960,70,557.5,-1095,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,259,80,residual,stable,71976-72875,71961-72000,25,-445.0,-860,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,259,81,residual,residual,71976-72875,72001-72880,875,15.0,-20,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,260,82,stable,stable,72876-72900,72881-72920,20,12.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,261,83,residual,residual,72901-73075,72921-73080,155,12.5,-15,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,262,84,stable,stable,73076-73125,73081-73120,40,0.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,263,85,residual,residual,73126-73650,73121-73640,515,-7.5,-5,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,264,86,stable,stable,73651-73675,73641-73680,25,-2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,265,87,residual,residual,73676-74025,73681-74040,345,10.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,267,88,residual,stable,74051-75075,74041-74080,30,-502.5,-985,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,267,89,residual,residual,74051-75075,74081-75080,995,17.5,-25,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,268,90,stable,stable,75076-75100,75081-75120,20,12.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,269,91,residual,residual,75101-77900,75121-77880,2760,0.0,-40,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,269,92,residual,stable,75101-77900,77881-77920,20,1400.0,-2760,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,277,93,residual,residual,79426-80175,77921-80160,735,-760.0,1490,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,278,94,stable,stable,80176-80200,80161-80200,25,-7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,283,95,residual,residual,80876-81400,80201-81400,525,-337.5,675,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,284,96,stable,stable,81401-81425,81401-81440,25,7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,291,97,residual,residual,81826-82875,81441-83800,1050,270.0,1310,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,299,98,residual,stable,83551-84375,83801-83840,40,-142.5,-785,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,299,99,residual,residual,83551-84375,83841-84200,360,57.5,-465,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,299,100,residual,stable,83551-84375,84201-84240,40,257.5,-785,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,315,101,residual,residual,85926-86725,84241-87000,800,-705.0,1960,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,317,102,residual,stable,86751-87025,87001-87040,25,132.5,-235,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,319,103,residual,residual,87051-87675,87041-87400,350,-142.5,-265,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,319,104,residual,stable,87051-87675,87401-87440,40,57.5,-585,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,319,105,residual,residual,87051-87675,87441-87680,235,197.5,-385,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,320,106,stable,stable,87676-87700,87681-87720,20,12.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,321,107,residual,residual,87701-88250,87721-87960,240,-135.0,-310,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,321,108,residual,stable,87701-88250,87961-88000,40,5.0,-510,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,321,109,residual,residual,87701-88250,88001-88520,250,285.0,-30,slow_drift,observer-side boundary deformation under adjacent constitution transition
25,40,323,110,residual,stable,88276-89575,88521-88560,40,-385.0,-1260,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,323,111,residual,residual,88276-89575,88561-89200,640,-45.0,-660,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,323,112,residual,stable,88276-89575,89201-89240,40,295.0,-1260,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,325,113,residual,residual,89601-91550,89241-92280,1950,185.0,1090,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,330,114,stable,stable,92276-92300,92281-92320,20,12.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,331,115,residual,residual,92301-92850,92321-93320,530,245.0,450,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,337,116,residual,stable,93251-93425,93321-93360,40,2.5,-135,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,339,117,residual,residual,93451-94775,93361-94760,1310,-52.5,75,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,340,118,stable,stable,94776-94800,94761-94800,25,-7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,341,119,residual,residual,94801-95700,94801-95320,520,-190.0,-380,thinning_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,341,120,residual,stable,94801-95700,95321-95360,40,90.0,-860,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,347,121,residual,residual,96376-97450,95361-99440,1075,487.5,3005,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,353,122,residual,stable,98526-100175,99441-99480,40,110.0,-1610,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,361,123,residual,residual,101626-103550,99481-104120,1925,-787.5,2715,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,366,124,stable,stable,104126-104150,104121-104160,25,2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,369,125,residual,residual,104426-105600,104161-106680,1175,407.5,1345,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,377,126,residual,stable,106451-106700,106681-106720,20,125.0,-210,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,391,127,residual,residual,109101-110300,106721-111240,1200,-720.0,3320,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,399,128,residual,stable,111076-111900,111241-111280,40,-227.5,-785,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,399,129,residual,residual,111076-111900,111281-112000,620,152.5,-105,minor_deformation,observer-side boundary deformation under adjacent constitution transition
25,40,402,130,stable,stable,112001-112025,112001-112040,25,7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,409,131,residual,residual,112876-113325,112041-113800,450,-180.0,1310,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,412,132,stable,stable,113801-113825,113801-113840,25,7.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,413,133,residual,residual,113826-114175,113841-114440,335,140.0,250,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,416,134,stable,stable,114451-114475,114441-114480,25,-2.5,15,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,417,135,residual,residual,114476-115100,114481-115120,620,12.5,15,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,418,136,stable,stable,115101-115150,115121-115160,30,15.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,419,137,residual,residual,115151-116225,115161-118640,1065,1212.5,2405,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,427,138,residual,stable,117926-119100,118641-118680,40,147.5,-1135,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,433,139,residual,residual,119526-121175,118681-120320,795,-850.0,-10,slow_drift,observer-side boundary deformation under adjacent constitution transition
25,40,433,140,residual,stable,119526-121175,120321-120360,40,-10.0,-1610,boundary_recolored,observer-side boundary deformation under adjacent constitution transition
25,40,437,141,residual,residual,121851-123050,120361-123360,1200,-590.0,1800,widening_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,440,142,stable,stable,123376-137074,123361-137074,13699,-7.5,15,stable_boundary,observer-side boundary deformation under adjacent constitution transition
25,40,2,,stable,,151-175,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,4,,stable,,1001-1025,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,6,,stable,,3426-3450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,7,,residual,,3451-3725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,8,,stable,,3726-3750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,9,,residual,,3751-4000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,10,,stable,,4001-4025,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,11,,residual,,4026-4175,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,12,,stable,,4176-4200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,16,,stable,,4926-4950,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,17,,residual,,4951-5125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,20,,stable,,7201-7225,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,21,,residual,,7226-7875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,22,,stable,,7876-7900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,23,,residual,,7901-7950,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,24,,stable,,7951-7975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,25,,residual,,7976-8250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,28,,stable,,8701-8725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,29,,residual,,8726-8975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,30,,stable,,8976-9000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,31,,residual,,9001-9175,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,32,,stable,,9176-9200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,33,,residual,,9201-9550,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,34,,stable,,9551-9575,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,35,,residual,,9576-9650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,40,,stable,,10876-10900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,42,,stable,,12026-12050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,43,,residual,,12051-12575,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,44,,stable,,12576-12600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,45,,residual,,12601-12800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,48,,stable,,14026-14050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,49,,residual,,14051-14400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,50,,stable,,14401-14425,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,52,,stable,,15101-15125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,55,,residual,,17676-17950,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,56,,stable,,17951-17975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,57,,residual,,17976-18025,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,58,,stable,,18026-18050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,60,,stable,,18576-18600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,61,,residual,,18601-18750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,62,,stable,,18751-18775,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,64,,stable,,19401-19425,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,65,,residual,,19426-19700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,67,,residual,,19751-20375,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,68,,stable,,20376-20400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,69,,residual,,20401-20950,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,70,,stable,,20951-20975,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,71,,residual,,20976-21150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,72,,stable,,21151-21175,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,74,,stable,,23601-23625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,75,,residual,,23626-23850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,76,,stable,,23851-23875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,77,,residual,,23876-24425,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,78,,stable,,24426-24450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,79,,residual,,24451-24525,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,80,,stable,,24526-24550,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,81,,residual,,24551-24900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,82,,stable,,24901-24925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,83,,residual,,24926-26000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,84,,stable,,26001-26025,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,85,,residual,,26026-26725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,86,,stable,,26726-26750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,87,,residual,,26751-27725,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,88,,stable,,27726-27750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,89,,residual,,27751-27925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,90,,stable,,27926-27950,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,91,,residual,,27951-28250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,92,,stable,,28251-28275,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,93,,residual,,28276-29050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,94,,stable,,29051-29075,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,95,,residual,,29076-29600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,96,,stable,,29601-29625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,98,,stable,,30301-30325,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,99,,residual,,30326-31150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,100,,stable,,31151-31175,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,101,,residual,,31176-31425,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,102,,stable,,31426-31450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,104,,stable,,32526-32550,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,105,,residual,,32551-32625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,106,,stable,,32626-32650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,107,,residual,,32651-32800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,108,,stable,,32801-32825,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,110,,stable,,32901-32925,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,117,,residual,,37051-37200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,118,,stable,,37201-37225,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,119,,residual,,37226-37400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,120,,stable,,37401-37425,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,121,,residual,,37426-37575,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,122,,stable,,37576-37600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,123,,residual,,37601-37875,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,124,,stable,,37876-37900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,125,,residual,,37901-38050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,126,,stable,,38051-38075,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,128,,stable,,39876-39900,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,129,,residual,,39901-40150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,130,,stable,,40151-40175,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,131,,residual,,40176-40625,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
25,40,132,,stable,,40626-40650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
