hour_000000 load_low delta_start change_start
hour_000146 load_low delta_down change_mid
hour_000147 load_low delta_down change_mid
hour_000148 load_low delta_down change_small
hour_000149 load_low delta_up change_mid
hour_000150 load_low delta_up change_large
hour_000151 load_mid delta_up change_large
hour_000152 load_mid delta_up change_mid
hour_000153 load_mid delta_up change_large
hour_000154 load_mid delta_up change_large
hour_000155 load_mid delta_up change_small
hour_000156 load_high delta_up change_mid
hour_000157 load_high delta_up change_small
hour_000158 load_high delta_down change_small
hour_000159 load_high delta_up change_small
hour_000160 load_high delta_up change_small
hour_000161 load_high delta_up change_mid
hour_000162 load_high delta_up change_large
hour_000163 load_high delta_down change_small
hour_000164 load_high delta_down change_mid
hour_000165 load_high delta_down change_mid
hour_000166 load_mid delta_down change_large
hour_000167 load_mid delta_down change_large
hour_000168 load_mid delta_down change_large
hour_000169 load_low delta_down change_large
hour_000170 load_low delta_down change_mid
hour_000171 load_low delta_down change_mid
hour_000172 load_low delta_down change_mid
hour_000173 load_low delta_up change_mid
hour_000174 load_low delta_up change_mid
hour_000175 load_low delta_up change_large
hour_000176 load_mid delta_up change_small
hour_000177 load_mid delta_up change_large
hour_000178 load_mid delta_up change_large
hour_000179 load_mid delta_up change_mid
hour_000180 load_mid delta_up change_mid
hour_000181 load_mid delta_up change_small
hour_000182 load_mid delta_down change_small
hour_000183 load_mid delta_up change_small
hour_000184 load_mid delta_up change_small
hour_000185 load_high delta_up change_mid
hour_000186 load_high delta_up change_mid
hour_000187 load_high delta_down change_small
hour_000188 load_high delta_down change_mid
hour_000189 load_high delta_down change_mid
hour_000190 load_mid delta_down change_large
hour_000191 load_mid delta_down change_large
hour_000192 load_low delta_down change_large
hour_000193 load_low delta_down change_large
hour_000194 load_low delta_down change_small
hour_000195 load_low delta_down change_small
hour_000196 load_low delta_down change_small
hour_000197 load_low delta_up change_small
hour_000198 load_low delta_up change_large
hour_000199 load_low delta_up change_large
hour_000200 load_mid delta_up change_mid
hour_000201 load_mid delta_up change_large
hour_000202 load_mid delta_up change_large
hour_000203 load_mid delta_up change_mid
hour_000204 load_mid delta_up change_small
hour_000205 load_mid delta_up change_mid
hour_000206 load_mid delta_up change_small
hour_000207 load_mid delta_down change_small
hour_000208 load_mid delta_up change_small
hour_000209 load_high delta_up change_mid
hour_000210 load_high delta_up change_large
hour_000211 load_high delta_down change_small
hour_000212 load_high delta_down change_mid
hour_000213 load_mid delta_down change_mid
hour_000214 load_mid delta_down change_large
hour_000215 load_mid delta_down change_large
hour_000216 load_low delta_down change_large
hour_000217 load_low delta_down change_large
hour_000218 load_low delta_down change_small
hour_000219 load_low delta_down change_small
hour_000220 load_low delta_down change_mid
hour_000221 load_low delta_up change_mid
hour_000222 load_low delta_up change_large
hour_000223 load_mid delta_up change_large
hour_000224 load_mid delta_up change_mid
hour_000225 load_mid delta_up change_large
hour_000226 load_mid delta_up change_large
hour_000227 load_mid delta_up change_mid
hour_000228 load_mid delta_up change_small
hour_000229 load_mid delta_up change_mid
hour_000230 load_mid delta_down change_small
hour_000231 load_mid delta_up change_small
hour_000232 load_mid delta_up change_small
hour_000233 load_high delta_up change_mid
hour_000234 load_high delta_up change_large
hour_000235 load_high delta_down change_small
hour_000236 load_high delta_down change_mid
hour_000237 load_high delta_down change_mid
hour_000238 load_mid delta_down change_large
hour_000239 load_mid delta_down change_large
hour_000240 load_low delta_down change_large
hour_000241 load_low delta_down change_large
hour_000242 load_low delta_down change_small
hour_000243 load_low delta_down change_mid
hour_000244 load_low delta_down change_small
hour_000245 load_low delta_up change_small
hour_000246 load_low delta_up change_large
hour_000247 load_mid delta_up change_large
hour_000248 load_mid delta_up change_mid
hour_000249 load_mid delta_up change_large
hour_000250 load_mid delta_up change_large
hour_000251 load_mid delta_up change_small
hour_000252 load_mid delta_up change_mid
hour_000253 load_mid delta_up change_small
hour_000254 load_mid delta_down change_small
hour_000255 load_mid delta_up change_small
hour_000256 load_high delta_up change_small
hour_000257 load_high delta_up change_mid
hour_000258 load_high delta_up change_large
hour_000259 load_high delta_down change_small
hour_000260 load_high delta_down change_mid
hour_000261 load_high delta_down change_mid
hour_000262 load_mid delta_down change_large
hour_000263 load_mid delta_down change_large
hour_000264 load_low delta_down change_large
hour_000265 load_low delta_down change_large
hour_000266 load_low delta_down change_small
hour_000267 load_low delta_down change_small
hour_000268 load_low delta_down change_small
hour_000269 load_low delta_up change_small
hour_000270 load_low delta_up change_large
hour_000271 load_mid delta_up change_large
hour_000272 load_mid delta_up change_mid
hour_000273 load_mid delta_up change_large
hour_000274 load_mid delta_up change_large
hour_000275 load_mid delta_up change_small
hour_000276 load_mid delta_up change_mid
hour_000277 load_mid delta_up change_small
hour_000278 load_mid delta_down change_mid
hour_000279 load_mid delta_up change_small
hour_000280 load_mid delta_up change_small
hour_000281 load_high delta_up change_mid
hour_000282 load_high delta_up change_mid
hour_000283 load_high delta_down change_small
hour_000284 load_high delta_down change_mid
hour_000285 load_high delta_down change_mid
hour_000286 load_mid delta_down change_large
hour_000287 load_mid delta_down change_large
hour_000288 load_low delta_down change_large
hour_000289 load_low delta_down change_large
hour_000290 load_low delta_down change_small
hour_000291 load_low delta_down change_small
hour_000292 load_low delta_down change_small
hour_000293 load_low delta_up change_mid
hour_000294 load_low delta_up change_large
hour_000295 load_mid delta_up change_large
hour_000296 load_mid delta_up change_mid
hour_000297 load_mid delta_up change_large
hour_000298 load_mid delta_up change_large
hour_000299 load_mid delta_up change_small
hour_000300 load_high delta_up change_large
hour_000301 load_mid delta_down change_mid
hour_000302 load_mid delta_down change_small
hour_000303 load_mid delta_up change_small
hour_000304 load_high delta_up change_small
hour_000305 load_high delta_up change_mid
hour_000306 load_high delta_up change_large
hour_000307 load_high delta_down change_small
hour_000308 load_high delta_down change_mid
hour_000309 load_high delta_down change_mid
hour_000310 load_mid delta_down change_large
hour_000311 load_mid delta_down change_large
hour_000312 load_low delta_down change_large
hour_000313 load_low delta_down change_large
hour_000314 load_low delta_down change_mid
hour_000315 load_low delta_down change_mid
hour_000316 load_low delta_down change_small
hour_000317 load_low delta_up change_mid
hour_000318 load_low delta_up change_large
hour_000319 load_low delta_up change_large
hour_000320 load_mid delta_up change_mid
hour_000321 load_mid delta_up change_large
hour_000322 load_mid delta_up change_large
hour_000323 load_mid delta_up change_mid
hour_000324 load_high delta_up change_mid
hour_000325 load_high delta_down change_small
hour_000326 load_mid delta_down change_small
hour_000327 load_high delta_up change_small
hour_000328 load_high delta_up change_small
hour_000329 load_high delta_up change_small
hour_000330 load_high delta_up change_large
hour_000331 load_high delta_down change_small
hour_000332 load_high delta_down change_mid
hour_000333 load_high delta_down change_mid
hour_000334 load_mid delta_down change_large
hour_000335 load_mid delta_down change_large
hour_000336 load_mid delta_down change_large
hour_000337 load_low delta_down change_large
hour_000338 load_low delta_down change_mid
hour_000339 load_low delta_down change_mid
hour_000340 load_low delta_down change_mid
hour_000341 load_low delta_up change_small
hour_000342 load_low delta_up change_large
hour_000343 load_low delta_up change_large
hour_000344 load_mid delta_up change_mid
hour_000345 load_mid delta_up change_large
hour_000346 load_mid delta_up change_large
hour_000347 load_mid delta_up change_mid
hour_000348 load_mid delta_up change_mid
hour_000349 load_mid delta_up change_small
hour_000350 load_mid delta_down change_mid
hour_000351 load_mid delta_up change_small
hour_000352 load_mid delta_up change_small
hour_000353 load_high delta_up change_mid
hour_000354 load_high delta_up change_mid
hour_000355 load_high delta_down change_small
hour_000356 load_high delta_down change_mid
hour_000357 load_high delta_down change_mid
hour_000358 load_mid delta_down change_large
hour_000359 load_mid delta_down change_large
hour_000360 load_low delta_down change_large
hour_000361 load_low delta_down change_large
hour_000362 load_low delta_down change_small
hour_000363 load_low delta_down change_small
hour_000364 load_low delta_down change_small
hour_000365 load_low delta_up change_mid
hour_000366 load_low delta_up change_mid
hour_000367 load_mid delta_up change_large
hour_000368 load_mid delta_up change_mid
hour_000369 load_mid delta_up change_large
hour_000370 load_mid delta_up change_large
hour_000371 load_mid delta_up change_mid
hour_000372 load_mid delta_up change_small
hour_000373 load_mid delta_up change_mid
hour_000374 load_mid delta_up change_small
hour_000375 load_mid delta_down change_small
hour_000376 load_mid delta_up change_small
hour_000377 load_high delta_up change_small
hour_000378 load_high delta_up change_large
hour_000379 load_high delta_down change_small
hour_000380 load_high delta_down change_mid
hour_000381 load_high delta_down change_mid
hour_000382 load_mid delta_down change_large
hour_000383 load_mid delta_down change_large
hour_000384 load_low delta_down change_large
hour_000385 load_low delta_down change_large
hour_000386 load_low delta_down change_mid
hour_000387 load_low delta_down change_mid
hour_000388 load_low delta_down change_mid
hour_000389 load_low delta_up change_mid
hour_000390 load_low delta_up change_mid
hour_000391 load_mid delta_up change_large
hour_000392 load_mid delta_up change_mid
hour_000393 load_mid delta_up change_large
hour_000394 load_mid delta_up change_large
hour_000395 load_mid delta_up change_small
hour_000396 load_mid delta_up change_mid
hour_000397 load_mid delta_up change_small
hour_000398 load_mid delta_down change_small
hour_000399 load_mid delta_up change_small
hour_000400 load_mid delta_up change_small
hour_000401 load_high delta_up change_small
hour_000402 load_high delta_up change_large
hour_000403 load_high delta_down change_small
hour_000404 load_high delta_down change_mid
hour_000405 load_high delta_down change_mid
hour_000406 load_mid delta_down change_large
hour_000407 load_mid delta_down change_large
hour_000408 load_low delta_down change_large
hour_000409 load_low delta_down change_large
hour_000410 load_low delta_down change_mid
hour_000411 load_low delta_down change_mid
hour_000412 load_low delta_down change_small
hour_000413 load_low delta_up change_small
hour_000414 load_low delta_up change_large
hour_000415 load_mid delta_up change_large
hour_000416 load_mid delta_up change_mid
hour_000417 load_mid delta_up change_large
hour_000418 load_mid delta_up change_large
hour_000419 load_mid delta_up change_mid
hour_000420 load_mid delta_up change_small
hour_000421 load_mid delta_up change_mid
hour_000422 load_mid delta_down change_small
hour_000423 load_mid delta_up change_mid
hour_000424 load_mid delta_up change_small
hour_000425 load_high delta_up change_mid
hour_000426 load_high delta_up change_large
hour_000427 load_high delta_down change_small
hour_000428 load_high delta_down change_mid
hour_000429 load_high delta_down change_mid
hour_000430 load_mid delta_down change_large
hour_000431 load_mid delta_down change_large
hour_000432 load_low delta_down change_large
hour_000433 load_low delta_down change_large
hour_000434 load_low delta_down change_mid
hour_000435 load_low delta_down change_small
hour_000436 load_low delta_down change_small
hour_000437 load_low delta_up change_mid
hour_000438 load_low delta_up change_mid
hour_000439 load_mid delta_up change_large
hour_000440 load_mid delta_up change_mid
hour_000441 load_mid delta_up change_large
hour_000442 load_mid delta_up change_large
hour_000443 load_mid delta_up change_mid
hour_000444 load_mid delta_up change_mid
hour_000445 load_mid delta_down change_small
hour_000446 load_mid delta_down change_small
hour_000447 load_mid delta_up change_small
hour_000448 load_mid delta_up change_small
hour_000449 load_high delta_up change_mid
hour_000450 load_high delta_up change_large
hour_000451 load_high delta_down change_small
hour_000452 load_high delta_down change_mid
hour_000453 load_high delta_down change_mid
hour_000454 load_mid delta_down change_large
hour_000455 load_mid delta_down change_large
hour_000456 load_low delta_down change_large
hour_000457 load_low delta_down change_large
hour_000458 load_low delta_down change_mid
hour_000459 load_low delta_down change_small
hour_000460 load_low delta_down change_small
hour_000461 load_low delta_up change_small
hour_000462 load_low delta_up change_mid
hour_000463 load_mid delta_up change_large
hour_000464 load_mid delta_up change_mid
hour_000465 load_mid delta_up change_large
hour_000466 load_mid delta_up change_large
hour_000467 load_mid delta_up change_small
hour_000468 load_mid delta_up change_mid
hour_000469 load_mid delta_up change_mid
hour_000470 load_mid delta_up change_small
hour_000471 load_high delta_up change_small
hour_000472 load_high delta_up change_small
hour_000473 load_high delta_up change_small
hour_000474 load_high delta_up change_large
hour_000475 load_high delta_up change_small
hour_000476 load_high delta_down change_mid
hour_000477 load_high delta_down change_mid
hour_000478 load_mid delta_down change_large
hour_000479 load_mid delta_down change_large
hour_000480 load_low delta_down change_large
hour_000481 load_low delta_down change_large
hour_000482 load_low delta_down change_mid
hour_000483 load_low delta_down change_mid
hour_000484 load_low delta_down change_small
hour_000485 load_low delta_up change_small
hour_000486 load_low delta_up change_mid
hour_000487 load_mid delta_up change_large
hour_000488 load_mid delta_up change_mid
hour_000489 load_mid delta_up change_large
hour_000490 load_mid delta_up change_large
hour_000491 load_mid delta_up change_small
hour_000492 load_mid delta_up change_mid
hour_000493 load_high delta_up change_mid
hour_000494 load_high delta_up change_small
hour_000495 load_high delta_up change_small
hour_000496 load_high delta_up change_small
hour_000497 load_high delta_up change_small
hour_000498 load_high delta_up change_large
hour_000499 load_high delta_down change_small
hour_000500 load_high delta_down change_mid
hour_000501 load_high delta_down change_mid
hour_000502 load_mid delta_down change_large
hour_000503 load_mid delta_down change_large
hour_000504 load_low delta_down change_large
hour_000505 load_low delta_down change_large
hour_000506 load_low delta_down change_mid
hour_000507 load_low delta_down change_mid
hour_000508 load_low delta_down change_mid
hour_000509 load_low delta_up change_small
hour_000510 load_low delta_up change_large
hour_000511 load_low delta_up change_large
hour_000512 load_mid delta_up change_small
hour_000513 load_mid delta_up change_large
hour_000514 load_mid delta_up change_large
hour_000515 load_mid delta_up change_mid
hour_000516 load_mid delta_up change_mid
hour_000517 load_mid delta_down change_small
hour_000518 load_mid delta_down change_small
hour_000519 load_mid delta_up change_small
hour_000520 load_mid delta_up change_mid
hour_000521 load_high delta_up change_small
hour_000522 load_high delta_up change_large
hour_000523 load_high delta_down change_small
hour_000524 load_high delta_down change_mid
hour_000525 load_mid delta_down change_mid
hour_000526 load_mid delta_down change_large
hour_000527 load_mid delta_down change_large
hour_000528 load_low delta_down change_large
hour_000529 load_low delta_down change_large
hour_000530 load_low delta_down change_small
hour_000531 load_low delta_down change_small
hour_000532 load_low delta_down change_small
hour_000533 load_low delta_up change_small
hour_000534 load_low delta_up change_large
hour_000535 load_mid delta_up change_large
hour_000536 load_mid delta_up change_mid
hour_000537 load_mid delta_up change_large
hour_000538 load_mid delta_up change_large
hour_000539 load_mid delta_up change_mid
hour_000540 load_mid delta_up change_mid
hour_000541 load_mid delta_up change_mid
hour_000542 load_mid delta_down change_small
hour_000543 load_mid delta_down change_small
hour_000544 load_mid delta_up change_small
hour_000545 load_high delta_up change_mid
hour_000546 load_high delta_up change_mid
hour_000547 load_high delta_up change_small
hour_000548 load_high delta_down change_mid
hour_000549 load_mid delta_down change_large
hour_000550 load_mid delta_down change_large
hour_000551 load_mid delta_down change_large
hour_000552 load_low delta_down change_large
hour_000553 load_low delta_down change_large
hour_000554 load_low delta_down change_small
hour_000555 load_low delta_down change_small
hour_000556 load_low delta_down change_small
hour_000557 load_low delta_up change_small
hour_000558 load_low delta_up change_large
hour_000559 load_mid delta_up change_large
hour_000560 load_mid delta_up change_mid
hour_000561 load_mid delta_up change_large
hour_000562 load_mid delta_up change_large
hour_000563 load_mid delta_up change_small
hour_000564 load_mid delta_up change_mid
hour_000565 load_mid delta_up change_mid
hour_000566 load_mid delta_down change_small
hour_000567 load_mid delta_up change_small
hour_000568 load_mid delta_up change_small
hour_000569 load_high delta_up change_mid
hour_000570 load_high delta_up change_large
hour_000571 load_high delta_up change_small
hour_000572 load_high delta_down change_large
hour_000573 load_mid delta_down change_mid
hour_000574 load_mid delta_down change_large
hour_000575 load_mid delta_down change_large
hour_000576 load_low delta_down change_large
hour_000577 load_low delta_down change_large
hour_000578 load_low delta_down change_small
hour_000579 load_low delta_down change_small
hour_000580 load_low delta_down change_small
hour_000581 load_low delta_up change_mid
hour_000582 load_low delta_up change_mid
hour_000583 load_mid delta_up change_large
hour_000584 load_mid delta_up change_mid
hour_000585 load_mid delta_up change_large
hour_000586 load_mid delta_up change_large
hour_000587 load_mid delta_up change_small
hour_000588 load_mid delta_up change_mid
hour_000589 load_mid delta_up change_mid
hour_000590 load_mid delta_down change_small
hour_000591 load_mid delta_up change_small
hour_000592 load_mid delta_down change_small
hour_000593 load_high delta_up change_mid
hour_000594 load_high delta_up change_large
hour_000595 load_high delta_down change_small
hour_000596 load_high delta_down change_mid
hour_000597 load_mid delta_down change_mid
hour_000598 load_mid delta_down change_large
hour_000599 load_mid delta_down change_large
hour_000600 load_low delta_down change_large
hour_000601 load_low delta_down change_large
hour_000602 load_low delta_down change_mid
hour_000603 load_low delta_down change_small
hour_000604 load_low delta_down change_small
hour_000605 load_low delta_up change_mid
hour_000606 load_low delta_up change_large
hour_000607 load_mid delta_up change_large
hour_000608 load_mid delta_up change_mid
hour_000609 load_mid delta_up change_large
hour_000610 load_mid delta_up change_large
hour_000611 load_mid delta_up change_small
hour_000612 load_mid delta_up change_mid
hour_000613 load_mid delta_up change_mid
hour_000614 load_mid delta_up change_small
hour_000615 load_mid delta_down change_small
hour_000616 load_mid delta_up change_small
hour_000617 load_high delta_up change_mid
hour_000618 load_high delta_up change_large
hour_000619 load_high delta_down change_small
hour_000620 load_high delta_down change_mid
hour_000621 load_high delta_down change_mid
hour_000622 load_mid delta_down change_large
hour_000623 load_mid delta_down change_large
hour_000624 load_low delta_down change_large
hour_000625 load_low delta_down change_large
hour_000626 load_low delta_down change_mid
hour_000627 load_low delta_down change_mid
hour_000628 load_low delta_down change_small
hour_000629 load_low delta_up change_mid
hour_000630 load_low delta_up change_large
hour_000631 load_mid delta_up change_large
hour_000632 load_mid delta_up change_mid
hour_000633 load_mid delta_up change_large
hour_000634 load_mid delta_up change_large
hour_000635 load_mid delta_up change_small
hour_000636 load_mid delta_up change_mid
hour_000637 load_mid delta_up change_small
hour_000638 load_mid delta_down change_small
hour_000639 load_mid delta_up change_small
hour_000640 load_mid delta_up change_small
hour_000641 load_high delta_up change_small
hour_000642 load_high delta_up change_large
hour_000643 load_high delta_up change_small
hour_000644 load_high delta_down change_mid
hour_000645 load_high delta_down change_mid
hour_000646 load_mid delta_down change_large
hour_000647 load_mid delta_down change_large
hour_000648 load_low delta_down change_large
hour_000649 load_low delta_down change_large
hour_000650 load_low delta_down change_mid
hour_000651 load_low delta_down change_mid
hour_000652 load_low delta_down change_small
hour_000653 load_low delta_up change_small
hour_000654 load_low delta_up change_large
hour_000655 load_mid delta_up change_large
hour_000656 load_mid delta_up change_mid
hour_000657 load_mid delta_up change_large
hour_000658 load_mid delta_up change_large
hour_000659 load_mid delta_up change_mid
hour_000660 load_mid delta_up change_mid
hour_000661 load_mid delta_up change_mid
hour_000662 load_mid delta_down change_mid
hour_000663 load_mid delta_up change_mid
hour_000664 load_high delta_up change_small
hour_000665 load_high delta_up change_small
hour_000666 load_high delta_up change_large
hour_000667 load_high delta_up change_small
hour_000668 load_high delta_down change_large
hour_000669 load_mid delta_down change_mid
hour_000670 load_mid delta_down change_mid
hour_000671 load_mid delta_down change_large
hour_000672 load_low delta_down change_large
hour_000673 load_low delta_down change_large
hour_000674 load_low delta_down change_small
hour_000675 load_low delta_down change_mid
hour_000676 load_low delta_down change_mid
hour_000677 load_low delta_up change_small
hour_000678 load_low delta_up change_large
hour_000679 load_low delta_up change_large
hour_000680 load_mid delta_up change_mid
hour_000681 load_mid delta_up change_large
hour_000682 load_mid delta_up change_large
hour_000683 load_mid delta_up change_mid
hour_000684 load_mid delta_up change_mid
hour_000685 load_mid delta_up change_small
hour_000686 load_mid delta_down change_mid
hour_000687 load_mid delta_up change_small
hour_000688 load_mid delta_up change_small
hour_000689 load_mid delta_up change_small
hour_000690 load_high delta_up change_large
hour_000691 load_high delta_up change_small
hour_000692 load_high delta_down change_mid
hour_000693 load_mid delta_down change_mid
hour_000694 load_mid delta_down change_large
hour_000695 load_mid delta_down change_large
hour_000696 load_low delta_down change_large
hour_000697 load_low delta_down change_large
hour_000698 load_low delta_down change_small
hour_000699 load_low delta_down change_small
hour_000700 load_low delta_up change_small
hour_000701 load_low delta_up change_small
hour_000702 load_low delta_up change_large
hour_000703 load_mid delta_up change_large
hour_000704 load_mid delta_up change_mid
hour_000705 load_mid delta_up change_large
hour_000706 load_mid delta_up change_large
hour_000707 load_mid delta_up change_mid
hour_000708 load_mid delta_up change_mid
hour_000709 load_mid delta_up change_mid
hour_000710 load_mid delta_down change_mid
hour_000711 load_mid delta_up change_mid
hour_000712 load_high delta_up change_small
hour_000713 load_high delta_up change_small
hour_000714 load_high delta_up change_large
hour_000715 load_high delta_up change_small
hour_000716 load_high delta_down change_mid
hour_000717 load_high delta_down change_mid
hour_000718 load_mid delta_down change_large
hour_000719 load_mid delta_down change_large
hour_000720 load_low delta_down change_large
hour_000721 load_low delta_down change_large
hour_000722 load_low delta_down change_small
hour_000723 load_low delta_down change_mid
hour_000724 load_low delta_down change_small
hour_000725 load_low delta_up change_small
hour_000726 load_low delta_up change_large
hour_000727 load_mid delta_up change_large
hour_000728 load_mid delta_up change_mid
hour_000729 load_mid delta_up change_large
hour_000730 load_mid delta_up change_large
hour_000731 load_mid delta_up change_mid
hour_000732 load_mid delta_up change_small
hour_000733 load_mid delta_up change_mid
hour_000734 load_mid delta_up change_small
hour_000735 load_mid delta_down change_small
hour_000736 load_mid delta_up change_small
hour_000737 load_high delta_up change_mid
hour_000738 load_high delta_up change_mid
hour_000739 load_high delta_up change_mid
hour_000740 load_high delta_down change_mid
hour_000741 load_mid delta_down change_mid
hour_000742 load_mid delta_down change_large
hour_000743 load_mid delta_down change_large
hour_000744 load_low delta_down change_large
hour_000745 load_low delta_down change_large
hour_000746 load_low delta_down change_small
hour_000747 load_low delta_down change_small
hour_000748 load_low delta_down change_small
hour_000749 load_low delta_up change_mid
hour_000750 load_low delta_up change_large
hour_000751 load_mid delta_up change_large
hour_000752 load_mid delta_up change_mid
hour_000753 load_mid delta_up change_large
hour_000754 load_mid delta_up change_large
hour_000755 load_mid delta_up change_mid
hour_000756 load_mid delta_up change_small
hour_000757 load_mid delta_up change_mid
hour_000758 load_mid delta_down change_small
hour_000759 load_mid delta_up change_small
hour_000760 load_high delta_up change_small
hour_000761 load_high delta_up change_small
hour_000762 load_high delta_up change_large
hour_000763 load_high delta_up change_small
hour_000764 load_high delta_down change_mid
hour_000765 load_mid delta_down change_mid
hour_000766 load_mid delta_down change_large
hour_000767 load_mid delta_down change_large
hour_000768 load_low delta_down change_large
hour_000769 load_low delta_down change_large
hour_000770 load_low delta_down change_small
hour_000771 load_low delta_down change_mid
hour_000772 load_low delta_down change_small
hour_000773 load_low delta_up change_mid
hour_000774 load_low delta_up change_large
hour_000775 load_mid delta_up change_large
hour_000776 load_mid delta_up change_mid
hour_000777 load_mid delta_up change_large
hour_000778 load_mid delta_up change_large
hour_000779 load_mid delta_up change_small
hour_000780 load_mid delta_up change_mid
hour_000781 load_mid delta_up change_mid
hour_000782 load_mid delta_down change_small
hour_000783 load_mid delta_up change_small
hour_000784 load_mid delta_up change_small
hour_000785 load_mid delta_up change_small
