terrain,window_size,line_start,line_end,dominant_marker,dominant_marker_share,transition_from_prior,replay_class,boundary_note
interrupted_replay_v1,50,851,900,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,901,950,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,951,1000,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1001,1050,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1051,1100,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1101,1150,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1151,1200,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1201,1250,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1251,1300,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1301,1350,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1351,1400,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1401,1450,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1451,1500,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1501,1550,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1551,1600,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1601,1650,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1651,1700,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1701,1750,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1751,1800,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1801,1850,interruption_gap,0.72,replay_phase_A_to_interruption_gap,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1851,1900,interruption_gap,0.78,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1901,1950,interruption_gap,0.92,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,1951,2000,interruption_gap,0.7,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2001,2050,interruption_gap,1.0,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2051,2100,interruption_gap,0.7,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2101,2150,interruption_gap,1.0,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2151,2200,interruption_gap,0.7,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2201,2250,interruption_gap,0.98,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2251,2300,interruption_gap,0.72,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2301,2350,interruption_gap,0.78,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2351,2400,interruption_gap,0.92,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2401,2450,interruption_gap,0.7,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2451,2500,interruption_gap,1.0,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2501,2550,interruption_gap,0.7,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2551,2600,interruption_gap,1.0,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2601,2650,replay_phase_B_partial_restart,1.0,interruption_gap_to_replay_phase_B_partial_restart,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2651,2700,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2701,2750,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2751,2800,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2801,2850,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2851,2900,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2901,2950,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,2951,3000,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3001,3050,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3051,3100,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3101,3150,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3151,3200,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3201,3250,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3251,3300,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3301,3350,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3351,3400,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3401,3450,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3451,3500,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3501,3550,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3551,3600,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3601,3650,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3651,3700,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3701,3750,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3751,3800,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3801,3850,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3851,3900,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3901,3950,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,3951,4000,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4001,4050,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4051,4100,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4101,4150,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4151,4200,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4201,4250,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4251,4300,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4301,4350,mixed_reentry,0.62,replay_phase_B_partial_restart_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4351,4400,mixed_reentry,0.78,phase_holds,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4401,4450,quiet_reentry_field,1.0,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4451,4500,quiet_reentry_field,0.58,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4501,4550,mixed_reentry,0.98,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4551,4600,quiet_reentry_field,1.0,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4601,4650,quiet_reentry_field,0.78,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4651,4700,mixed_reentry,1.0,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4701,4750,quiet_reentry_field,0.82,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4751,4800,quiet_reentry_field,0.98,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4801,4850,mixed_reentry,1.0,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4851,4900,quiet_reentry_field,0.62,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4901,4950,quiet_reentry_field,1.0,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,4951,5000,mixed_reentry,0.82,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5001,5050,mixed_reentry,0.58,phase_holds,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5051,5100,quiet_reentry_field,1.0,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5101,5150,mixed_reentry,0.62,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5151,5200,mixed_reentry,0.78,phase_holds,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5201,5250,quiet_reentry_field,1.0,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5251,5300,quiet_reentry_field,0.58,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5301,5350,mixed_reentry,0.98,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5351,5400,quiet_reentry_field,1.0,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5401,5450,quiet_reentry_field,0.78,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5451,5500,mixed_reentry,1.0,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5501,5550,quiet_reentry_field,0.82,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5551,5600,quiet_reentry_field,0.98,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5601,5650,recomposed_tail,1.0,quiet_reentry_field_to_recomposed_tail,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5651,5700,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5701,5750,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5751,5800,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5801,5850,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5851,5900,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5901,5950,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,5951,6000,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6001,6050,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6051,6100,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6101,6150,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6151,6200,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6201,6250,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6251,6300,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6301,6350,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6351,6400,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6401,6450,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6451,6500,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6501,6550,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6551,6600,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6601,6650,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6651,6700,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6701,6750,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6751,6800,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6801,6850,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6851,6900,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6901,6950,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,50,6951,7000,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1,100,replay_phase_A,1.0,initial,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,101,200,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,201,300,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,301,400,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,401,500,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,501,600,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,601,700,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,701,800,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,801,900,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,901,1000,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1001,1100,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1101,1200,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1201,1300,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1301,1400,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1401,1500,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1501,1600,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1601,1700,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1701,1800,replay_phase_A,1.0,phase_holds,initial_replay,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1801,1900,interruption_gap,0.75,replay_phase_A_to_interruption_gap,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,1901,2000,interruption_gap,0.81,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2001,2100,interruption_gap,0.85,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2101,2200,interruption_gap,0.85,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2201,2300,interruption_gap,0.85,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2301,2400,interruption_gap,0.85,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2401,2500,interruption_gap,0.85,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2501,2600,interruption_gap,0.85,phase_holds,gap_dominant,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2601,2700,replay_phase_B_partial_restart,1.0,interruption_gap_to_replay_phase_B_partial_restart,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2701,2800,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2801,2900,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,2901,3000,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3001,3100,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3101,3200,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3201,3300,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3301,3400,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3401,3500,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3501,3600,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3601,3700,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3701,3800,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3801,3900,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,3901,4000,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4001,4100,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4101,4200,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4201,4300,replay_phase_B_partial_restart,1.0,phase_holds,partial_restart,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4301,4400,mixed_reentry,0.7,replay_phase_B_partial_restart_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4401,4500,quiet_reentry_field,0.79,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4501,4600,quiet_reentry_field,0.51,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4601,4700,mixed_reentry,0.61,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4701,4800,quiet_reentry_field,0.9,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4801,4900,mixed_reentry,0.69,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,4901,5000,quiet_reentry_field,0.59,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5001,5100,quiet_reentry_field,0.71,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5101,5200,mixed_reentry,0.7,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5201,5300,quiet_reentry_field,0.79,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5301,5400,quiet_reentry_field,0.51,phase_holds,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5401,5500,mixed_reentry,0.61,quiet_reentry_field_to_mixed_reentry,mixed_reentry,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5501,5600,quiet_reentry_field,0.9,mixed_reentry_to_quiet_reentry_field,quiet_or_mixed,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5601,5700,recomposed_tail,1.0,quiet_reentry_field_to_recomposed_tail,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5701,5800,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
interrupted_replay_v1,100,5801,5900,recomposed_tail,1.0,phase_holds,tail_recomposition,interruption_reentry_diagnostic_not_identity_claim
