terrain,window_size,line_start,line_end,dominant_motif,dominant_motif_share,dominant_marker,dominant_marker_share,drift_from_prior,cadence_class,boundary_note
pseudo_periodic_drift_v1,25,526,550,gamma cadence three,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,551,575,delta cadence four,0.48,cadence_interruption,0.4,motif_shifts,weak_or_fragmented_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,576,600,none,0.96,quiet_carrier,0.96,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,601,625,gamma cadence three,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,626,650,delta cadence four,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,651,675,beta cadence two,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,676,700,none,0.84,quiet_carrier,0.84,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,701,725,none,0.76,quiet_carrier,0.76,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,726,750,alpha cadence one,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,751,775,gamma cadence three,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,776,800,delta cadence four,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,801,825,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,826,850,none,0.56,quiet_carrier,0.56,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,851,875,delta cadence four,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,876,900,alpha cadence one,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,901,925,delta cadence four,0.96,delayed_phase_echo,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,926,950,alpha cadence one,0.96,delayed_phase_echo,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,951,975,beta cadence two,0.96,delayed_phase_echo,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,976,1000,gamma cadence three,0.96,pseudo_periodic,0.84,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1001,1025,delta cadence four,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1026,1050,alpha cadence one,0.56,pseudo_periodic,0.56,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1051,1075,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1076,1100,delta cadence four,0.8,pseudo_periodic,0.84,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1101,1125,alpha cadence one,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1126,1150,beta cadence two,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1151,1175,none,0.64,quiet_carrier,0.64,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1176,1200,none,0.96,quiet_carrier,0.96,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1201,1225,beta cadence two,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1226,1250,gamma cadence three,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1251,1275,alpha cadence one,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1276,1300,none,0.84,quiet_carrier,0.84,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1301,1325,none,0.76,quiet_carrier,0.76,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1326,1350,delta cadence four,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1351,1375,beta cadence two,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1376,1400,gamma cadence three,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1401,1425,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1426,1450,none,0.56,quiet_carrier,0.56,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1451,1475,gamma cadence three,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1476,1500,delta cadence four,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1501,1525,alpha cadence one,0.76,pseudo_periodic,0.76,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1526,1550,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1551,1575,delta cadence four,0.64,pseudo_periodic,0.64,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1576,1600,alpha cadence one,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1601,1625,beta cadence two,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1626,1650,gamma cadence three,0.56,pseudo_periodic,0.56,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1651,1675,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1676,1700,beta cadence two,0.8,pseudo_periodic,0.84,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1701,1725,gamma cadence three,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1726,1750,delta cadence four,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1751,1775,none,0.64,quiet_carrier,0.64,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1776,1800,none,0.96,quiet_carrier,0.96,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1801,1825,alpha cadence one,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1826,1850,beta cadence two,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1851,1875,delta cadence four,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1876,1900,none,0.8,quiet_carrier,0.8,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1901,1925,gamma cadence three,0.52,cadence_interruption,0.76,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1926,1950,gamma cadence three,0.56,pseudo_periodic,1.0,motif_holds,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1951,1975,alpha cadence one,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,1976,2000,beta cadence two,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2001,2025,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2026,2050,none,0.56,quiet_carrier,0.56,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2051,2075,beta cadence two,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2076,2100,gamma cadence three,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2101,2125,delta cadence four,0.76,pseudo_periodic,0.76,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2126,2150,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2151,2175,gamma cadence three,0.64,pseudo_periodic,0.64,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2176,2200,delta cadence four,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2201,2225,alpha cadence one,0.96,delayed_phase_echo,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2226,2250,beta cadence two,0.96,delayed_phase_echo,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2251,2275,gamma cadence three,0.96,delayed_phase_echo,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2276,2300,alpha cadence one,0.8,pseudo_periodic,0.84,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2301,2325,beta cadence two,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2326,2350,gamma cadence three,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2351,2375,none,0.64,quiet_carrier,0.64,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2376,2400,none,0.96,quiet_carrier,0.96,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2401,2425,gamma cadence three,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2426,2450,delta cadence four,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2451,2475,beta cadence two,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2476,2500,none,0.84,quiet_carrier,0.84,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2501,2525,none,0.76,quiet_carrier,0.76,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2526,2550,alpha cadence one,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2551,2575,gamma cadence three,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2576,2600,delta cadence four,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2601,2625,alpha cadence one,0.44,cadence_interruption,1.0,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2626,2650,gamma cadence three,0.68,cadence_interruption,0.56,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2651,2675,delta cadence four,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2676,2700,alpha cadence one,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2701,2725,gamma cadence three,0.76,pseudo_periodic,0.76,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2726,2750,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2751,2775,beta cadence two,0.64,pseudo_periodic,0.64,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2776,2800,gamma cadence three,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2801,2825,delta cadence four,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2826,2850,alpha cadence one,0.56,pseudo_periodic,0.56,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2851,2875,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2876,2900,delta cadence four,0.8,pseudo_periodic,0.84,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2901,2925,alpha cadence one,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2926,2950,beta cadence two,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2951,2975,none,0.64,quiet_carrier,0.64,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,2976,3000,none,0.96,quiet_carrier,0.96,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3001,3025,beta cadence two,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3026,3050,gamma cadence three,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3051,3075,alpha cadence one,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3076,3100,none,0.84,quiet_carrier,0.84,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3101,3125,none,0.76,quiet_carrier,0.76,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3126,3150,delta cadence four,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3151,3175,beta cadence two,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3176,3200,gamma cadence three,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3201,3225,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3226,3250,none,0.56,quiet_carrier,0.56,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3251,3275,gamma cadence three,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3276,3300,delta cadence four,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3301,3325,alpha cadence one,0.84,pseudo_periodic,0.76,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3326,3350,alpha cadence one,0.36,cadence_interruption,1.0,motif_holds,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3351,3375,delta cadence four,0.64,pseudo_periodic,0.64,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3376,3400,alpha cadence one,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3401,3425,beta cadence two,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3426,3450,gamma cadence three,0.56,pseudo_periodic,0.56,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3451,3475,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3476,3500,beta cadence two,0.84,pseudo_periodic,0.8,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3501,3525,beta cadence two,0.96,delayed_phase_echo,1.0,motif_holds,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3526,3550,gamma cadence three,0.96,delayed_phase_echo,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3551,3575,delta cadence four,0.96,delayed_phase_echo,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3576,3600,none,0.8,quiet_carrier,0.8,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3601,3625,alpha cadence one,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3626,3650,beta cadence two,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3651,3675,delta cadence four,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3676,3700,none,0.84,quiet_carrier,0.84,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3701,3725,none,0.76,quiet_carrier,0.76,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3726,3750,gamma cadence three,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3751,3775,alpha cadence one,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3776,3800,beta cadence two,0.8,pseudo_periodic,0.96,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3801,3825,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3826,3850,none,0.56,quiet_carrier,0.56,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3851,3875,beta cadence two,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3876,3900,gamma cadence three,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3901,3925,delta cadence four,0.76,pseudo_periodic,0.76,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3926,3950,none,1.0,quiet_carrier,1.0,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3951,3975,gamma cadence three,0.64,pseudo_periodic,0.64,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,3976,4000,delta cadence four,0.8,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4001,4025,alpha cadence one,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4026,4050,beta cadence two,0.64,pseudo_periodic,0.56,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4051,4075,gamma cadence three,0.24,cadence_interruption,0.76,motif_shifts,mixed_cadence_pressure,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4076,4100,alpha cadence one,0.8,pseudo_periodic,0.84,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4101,4125,beta cadence two,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4126,4150,gamma cadence three,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4151,4175,none,0.64,quiet_carrier,0.64,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4176,4200,none,0.96,quiet_carrier,0.96,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4201,4225,gamma cadence three,0.76,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4226,4250,delta cadence four,0.56,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4251,4275,beta cadence two,0.64,pseudo_periodic,1.0,motif_shifts,locally_stable_cadence,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4276,4300,none,0.84,quiet_carrier,0.84,motif_shifts,quiet_carrier,cadence_diagnostic_not_residual_admission
pseudo_periodic_drift_v1,25,4301,4325,none,0.76,quiet_carrier,0.76,motif_holds,quiet_carrier,cadence_diagnostic_not_residual_admission
