"window_size","window_index","line_start","line_end","climate","enclosure_share","edge_share","middle_share","residual_share","diversity_share","edge_margin","edge_to_bracketed_ratio","local_topology"
"500","26","12501","13000","quietly_consolidated","0.842","0.112","0.028","0.018","0.262","-0.73","0.133","ordinary"
"500","27","13001","13500","quietly_consolidated","0.972","0.02","0.002","0.006","0.142","-0.952","0.021","ordinary"
"500","28","13501","14000","quietly_consolidated","0.794","0.14","0.056","0.01","0.3","-0.654","0.176","ordinary"
"500","29","14001","14500","enclosure_dominant","0.602","0.272","0.07","0.056","0.378","-0.33","0.452","ordinary"
"500","30","14501","15000","quietly_consolidated","0.752","0.172","0.024","0.052","0.29","-0.58","0.229","ordinary"
"500","31","15001","15500","quietly_consolidated","0.828","0.12","0.03","0.022","0.262","-0.708","0.145","ordinary"
"500","32","15501","16000","quietly_consolidated","1","0","0","0","0.086","-1","0","ordinary"
"500","33","16001","16500","quietly_consolidated","1","0","0","0","0.088","-1","0","ordinary"
"500","34","16501","17000","enclosure_dominant","0.682","0.212","0.082","0.024","0.256","-0.47","0.311","ordinary"
"500","35","17001","17500","enclosure_dominant","0.65","0.236","0.1","0.014","0.292","-0.414","0.363","ordinary"
"500","36","17501","18000","enclosure_dominant","0.706","0.198","0.082","0.014","0.26","-0.508","0.28","ordinary"
"500","37","18001","18500","quietly_consolidated","0.836","0.114","0.012","0.038","0.31","-0.722","0.136","ordinary"
"500","38","18501","19000","enclosure_dominant","0.61","0.264","0.054","0.072","0.426","-0.346","0.433","ordinary"
"500","39","19001","19500","quietly_consolidated","0.968","0.032","0","0","0.14","-0.936","0.033","ordinary"
"500","40","19501","20000","quietly_consolidated","0.816","0.122","0.062","0","0.264","-0.694","0.15","ordinary"
"500","41","20001","20500","quietly_consolidated","0.812","0.134","0.052","0.002","0.184","-0.678","0.165","ordinary"
"500","42","20501","21000","quietly_consolidated","0.808","0.134","0.042","0.016","0.208","-0.674","0.166","ordinary"
"500","43","21001","21500","enclosure_dominant","0.666","0.222","0.09","0.022","0.278","-0.444","0.333","ordinary"
"500","44","21501","22000","quietly_consolidated","0.784","0.148","0.024","0.044","0.27","-0.636","0.189","ordinary"
"500","45","22001","22500","quietly_consolidated","0.894","0.092","0.002","0.012","0.176","-0.802","0.103","ordinary"
"500","46","22501","23000","quietly_consolidated","0.76","0.184","0.054","0.002","0.222","-0.576","0.242","ordinary"
"500","47","23001","23500","enclosure_dominant","0.704","0.204","0.074","0.018","0.288","-0.5","0.29","ordinary"
"500","48","23501","24000","enclosure_dominant","0.702","0.192","0.078","0.028","0.318","-0.51","0.274","ordinary"
"500","49","24001","24500","quietly_consolidated","0.868","0.096","0.014","0.022","0.2","-0.772","0.111","ordinary"
"500","50","24501","25000","quietly_consolidated","0.842","0.136","0.018","0.004","0.176","-0.706","0.162","ordinary"
"500","51","25001","25500","enclosure_dominant","0.524","0.368","0.092","0.016","0.38","-0.156","0.702","ordinary"
"500","52","25501","26000","enclosure_dominant","0.748","0.184","0.054","0.014","0.27","-0.564","0.246","ordinary"
"500","53","26001","26500","enclosure_dominant","0.542","0.3","0.158","0","0.306","-0.242","0.554","ordinary"
"500","54","26501","27000","quietly_consolidated","0.776","0.172","0.052","0","0.228","-0.604","0.222","ordinary"
"500","55","27001","27500","quietly_consolidated","0.954","0.044","0","0.002","0.104","-0.91","0.046","ordinary"
"500","56","27501","28000","quietly_consolidated","0.922","0.07","0","0.008","0.15","-0.852","0.076","ordinary"
"500","57","28001","28500","enclosure_dominant","0.588","0.298","0.094","0.02","0.42","-0.29","0.507","ordinary"
"500","58","28501","29000","quietly_consolidated","0.78","0.15","0.038","0.032","0.31","-0.63","0.192","ordinary"
"500","59","29001","29500","quietly_consolidated","0.8","0.162","0.02","0.018","0.324","-0.638","0.202","ordinary"
"500","60","29501","30000","quietly_consolidated","0.974","0.02","0.004","0.002","0.168","-0.954","0.021","ordinary"
"500","61","30001","30500","quietly_consolidated","0.876","0.088","0.016","0.02","0.23","-0.788","0.1","ordinary"
"500","62","30501","31000","enclosure_dominant","0.542","0.312","0.13","0.016","0.42","-0.23","0.576","ordinary"
"500","63","31001","31500","enclosure_dominant","0.494","0.334","0.09","0.082","0.504","-0.16","0.676","ordinary"
"500","64","31501","32000","enclosure_dominant","0.708","0.234","0.054","0.004","0.392","-0.474","0.331","ordinary"
"500","65","32001","32500","quietly_consolidated","0.952","0.048","0","0","0.136","-0.904","0.05","ordinary"
"500","66","32501","33000","enclosure_dominant","0.69","0.224","0.044","0.042","0.328","-0.466","0.325","ordinary"
"500","67","33001","33500","quietly_consolidated","0.878","0.116","0.004","0.002","0.24","-0.762","0.132","ordinary"
"500","68","33501","34000","quietly_consolidated","0.938","0.048","0.006","0.008","0.134","-0.89","0.051","ordinary"
"500","69","34001","34500","enclosure_dominant","0.516","0.332","0.112","0.04","0.34","-0.184","0.643","ordinary"
"500","70","34501","35000","quietly_consolidated","0.924","0.064","0.012","0","0.24","-0.86","0.069","ordinary"
"500","71","35001","35500","quietly_consolidated","0.868","0.096","0.008","0.028","0.196","-0.772","0.111","ordinary"
"500","72","35501","36000","quietly_consolidated","0.75","0.184","0.032","0.034","0.37","-0.566","0.245","ordinary"
"500","73","36001","36500","quietly_consolidated","0.984","0.016","0","0","0.104","-0.968","0.016","ordinary"
"500","74","36501","37000","quietly_consolidated","0.866","0.096","0.01","0.028","0.204","-0.77","0.111","ordinary"
"500","75","37001","37500","enclosure_dominant","0.62","0.21","0.098","0.072","0.38","-0.41","0.339","ordinary"
"500","76","37501","38000","permeability_coupled","0.398","0.404","0.148","0.05","0.408","0.006","1.015","localized_inversion_basin"
"500","77","38001","38500","enclosure_dominant","0.498","0.338","0.092","0.072","0.54","-0.16","0.679","ordinary"
"500","78","38501","39000","quietly_consolidated","0.919","0.081","0","0","0.288","-0.837","0.088","ordinary"
